+-----+----------------+----------------+------+-------+-----+----------+
| id  |     caller     |    receiver    | year | month | day | duration |
+-----+----------------+----------------+------+-------+-----+----------+
| 211 | (336) 555-0077 | (098) 555-1164 | 2021 | 7     | 28  | 318      |
| 212 | (918) 555-5327 | (060) 555-2489 | 2021 | 7     | 28  | 146      |
| 213 | (491) 555-2505 | (478) 555-1565 | 2021 | 7     | 28  | 241      |
| 214 | (996) 555-8899 | (059) 555-4698 | 2021 | 7     | 28  | 142      |
| 215 | (704) 555-5790 | (772) 555-5770 | 2021 | 7     | 28  | 200      |
| 216 | (984) 555-5921 | (618) 555-9856 | 2021 | 7     | 28  | 546      |
| 217 | (579) 555-5030 | (971) 555-6468 | 2021 | 7     | 28  | 421      |
| 218 | (233) 555-0473 | (831) 555-0973 | 2021 | 7     | 28  | 113      |
| 219 | (293) 555-1469 | (749) 555-4874 | 2021 | 7     | 28  | 195      |
| 220 | (450) 555-8297 | (771) 555-7880 | 2021 | 7     | 28  | 298      |
| 221 | (130) 555-0289 | (996) 555-8899 | 2021 | 7     | 28  | 51       |
| 222 | (209) 555-7806 | (693) 555-7986 | 2021 | 7     | 28  | 487      |
| 223 | (918) 555-2946 | (006) 555-0505 | 2021 | 7     | 28  | 359      |
| 224 | (499) 555-9472 | (892) 555-8872 | 2021 | 7     | 28  | 36       |
| 225 | (669) 555-6918 | (914) 555-5994 | 2021 | 7     | 28  | 233      |
| 226 | (547) 555-8781 | (398) 555-1013 | 2021 | 7     | 28  | 272      |
| 227 | (544) 555-8087 | (389) 555-5198 | 2021 | 7     | 28  | 595      |
| 228 | (666) 555-5774 | (125) 555-8030 | 2021 | 7     | 28  | 326      |
| 229 | (047) 555-0577 | (059) 555-4698 | 2021 | 7     | 28  | 379      |
| 230 | (301) 555-4174 | (711) 555-3007 | 2021 | 7     | 28  | 583      |
| 231 | (801) 555-9266 | (984) 555-5921 | 2021 | 7     | 28  | 148      |
| 232 | (971) 555-6468 | (267) 555-2761 | 2021 | 7     | 28  | 149      |
| 233 | (367) 555-5533 | (375) 555-8161 | 2021 | 7     | 28  | 45       |
| 234 | (609) 555-5876 | (389) 555-5198 | 2021 | 7     | 28  | 60       |
