+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 1   | 2021 | 1     | 1   | Chamberlin Street    | Credit card fraud took place at 00:53. Two people witnessed the event.                                                                                                                                                   |
| 2   | 2021 | 1     | 1   | Zlatkova Street      | Burglary took place at 05:23. Two people witnessed the event.                                                                                                                                                            |
| 3   | 2021 | 1     | 1   | Bowden Boulevard     | Shoplifting took place at 20:48. Two people witnessed the event.                                                                                                                                                         |
| 4   | 2021 | 1     | 1   | Boyce Avenue         | Jaywalking took place at 23:37. Two people witnessed the event.                                                                                                                                                          |
| 5   | 2021 | 1     | 2   | Widenius Street      | Jaywalking took place at 20:33. One person witnessed the incident.                                                                                                                                                       |
| 6   | 2021 | 1     | 3   | Chartier Road        | Insider trading took place at 19:32. Two people witnessed the event.                                                                                                                                                     |
| 7   | 2021 | 1     | 3   | Blumberg Boulevard   | Theft took place at 20:49. No known witnesses.                                                                                                                                                                           |
| 8   | 2021 | 1     | 4   | Fifer Street         | Bank robbery took place at 10:32. No known witnesses.                                                                                                                                                                    |
| 9   | 2021 | 1     | 4   | Blumberg Boulevard   | Money laundering took place at 05:26. No known witnesses.                                                                                                                                                                |
| 10  | 2021 | 1     | 5   | Widenius Street      | Insider trading took place at 05:13. Two people witnessed the event.                                                                                                                                                     |
| 11  | 2021 | 1     | 5   | Carreiro Avenue      | Credit card fraud took place at 21:35. Two people witnessed the event.                                                                                                                                                   |
| 12  | 2021 | 1     | 5   | MacWilliam Road      | Littering took place at 04:18. No known witnesses.                                                                                                                                                                       |
| 13  | 2021 | 1     | 6   | Aydede Lane          | Reckless driving took place at 07:18. No known witnesses.                                                                                                                                                                |
| 14  | 2021 | 1     | 6   | Fifer Street         | Insider trading took place at 11:35. No known witnesses.                                                                                                                                                                 |
| 15  | 2021 | 1     | 7   | Humphrey Lane        | Shoplifting took place at 11:42. One person witnessed the incident.                                                                                                                                                      |
| 16  | 2021 | 1     | 7   | Zlatkova Street      | Credit card fraud took place at 14:47. Two people witnessed the event.                                                                                                                                                   |
| 17  | 2021 | 1     | 7   | Hipp Boulevard       | Credit card fraud took place at 03:14. Two people witnessed the event.                                                                                                                                                   |
| 18  | 2021 | 1     | 8   | Aydede Lane          | Jaywalking took place at 10:04. Two people witnessed the event.                                                                                                                                                          |
| 19  | 2021 | 1     | 8   | Carvalho Road        | Bank robbery took place at 15:30. Two people witnessed the event.                                                                                                                                                        |
| 20  | 2021 | 1     | 8   | Larsson Lane         | Credit card fraud took place at 13:40. No known witnesses.                                                                                                                                                               |
| 21  | 2021 | 1     | 9   | Boyce Avenue         | Expired parking meter took place at 01:53. No known witnesses.                                                                                                                                                           |
| 22  | 2021 | 1     | 10  | Yamashita Avenue     | Theft took place at 16:16. One person witnessed the incident.                                                                                                                                                            |
